"","x"
"1104",-66
"1105",-66
"1106",-61
"1107",-61
"1108",-56
"1109",-56
"1110",-56
"1111",-56
"1112",-61
"1113",-68
"1114",-71
"1115",-71
"1116",-71
"1117",-78
"1118",-76
"1119",-71
"1120",-78
"1121",-78
"1122",-73
"1123",-76
"1124",-71
"1125",-63
"1126",-63
"1127",-66
"1128",-68
"1129",-66
"1130",-73
"1131",-73
"1132",-71
"1133",-71
"1134",-73
"1135",-78
"1136",-81
"1137",-78
"1138",-76
"1139",-71
"1140",-68
"1141",-71
"1142",-66
"1143",-68
"1144",-66
"1145",-61
"1146",-66
"1147",-68
"1148",-66
"1149",-71
"1150",-73
"1151",-78
"1152",-78
"1153",-73
"1154",-73
"1155",-81
"1156",-81
"1157",-85
"1158",-90
"1159",-88
"1160",-90
"1161",-81
"1162",-68
"1163",-66
"1164",-71
"1165",-71
"1166",-71
"1167",-78
"1168",-83
"1169",-83
"1170",-78
"1171",-76
"1172",-85
"1173",-88
"1174",-83
"1175",-115
"1176",-210
"1177",-234
"1178",37
"1179",698
"1180",1189
"1181",830
"1182",239
"1183",49
"1184",-29
"1185",-103
"1186",-120
"1187",-134
"1188",-137
"1189",-134
"1190",-142
"1191",-139
"1192",-134
"1193",-132
"1194",-132
"1195",-127
"1196",-129
"1197",-132
"1198",-132
"1199",-134
"1200",-132
"1201",-129
"1202",-132
"1203",-139
"1204",-142
"1205",-134
"1206",-139
"1207",-144
"1208",-149
"1209",-146
"1210",-144
"1211",-144
"1212",-139
"1213",-127
"1214",-115
"1215",-100
"1216",-88
"1217",-78
"1218",-59
"1219",-44
"1220",-34
"1221",-32
"1222",-37
"1223",-46
"1224",-63
"1225",-73
"1226",-78
"1227",-83
"1228",-85
"1229",-81
"1230",-76
"1231",-85
"1232",-88
"1233",-88
"1234",-93
"1235",-100
"1236",-98
"1237",-95
"1238",-95
"1239",-88
"1240",-83
"1241",-83
"1242",-85
"1243",-83
"1244",-78
"1245",-73
"1246",-83
"1247",-76
"1248",-73
"1249",-78
"1250",-81
"1251",-88
"1252",-83
"1253",-83
"1254",-85
"1255",-88
"1256",-88
"1257",-85
"1258",-88
"1259",-85
"1260",-85
"1261",-93
"1262",-100
"1263",-90
"1264",-88
"1265",-90
"1266",-90
"1267",-85
"1268",-83
"1269",-85
"1270",-88
"1271",-90
"1272",-83
"1273",-81
"1274",-83
"1275",-83
"1276",-83
"1277",-78
"1278",-78
"1279",-81
"1280",-83
"1281",-90
"1282",-83
"1283",-88
"1284",-93
"1285",-93
"1286",-88
"1287",-88
"1288",-88
"1289",-88
"1290",-88
"1291",-93
"1292",-93
"1293",-95
"1294",-103
"1295",-95
"1296",-88
"1297",-95
"1298",-103
"1299",-95
"1300",-100
"1301",-105
"1302",-93
"1303",-76
