"Time","ec"
1437721206266,-39
1437721206274,-34
1437721206281,-15
1437721206289,-15
1437721206297,-5
1437721206305,5
1437721206313,0
1437721206321,-5
1437721206329,0
1437721206337,0
1437721206344,0
1437721206352,5
1437721206360,-2
1437721206368,-24
1437721206376,-10
1437721206384,-2
1437721206392,-2
1437721206400,2
1437721206407,5
1437721206415,12
1437721206423,5
1437721206431,2
1437721206439,10
1437721206447,12
1437721206455,22
1437721206462,32
1437721206470,32
1437721206478,34
1437721206486,29
1437721206494,27
1437721206502,12
1437721206510,5
1437721206518,22
1437721206525,15
1437721206533,12
1437721206541,12
1437721206549,12
1437721206557,10
1437721206565,10
1437721206573,22
1437721206581,12
1437721206588,20
1437721206596,22
1437721206604,17
1437721206612,15
1437721206620,5
1437721206628,22
1437721206636,27
1437721206644,20
1437721206651,34
1437721206659,27
1437721206667,12
1437721206675,24
1437721206683,15
1437721206691,5
1437721206699,12
1437721206706,12
1437721206714,5
1437721206722,-2
1437721206730,-12
1437721206738,-15
1437721206746,-7
1437721206754,-7
1437721206762,-24
1437721206769,-22
1437721206777,-29
1437721206785,-27
1437721206793,-24
1437721206801,-27
1437721206809,-17
1437721206817,-10
1437721206825,-7
1437721206832,-5
1437721206840,0
1437721206848,-10
1437721206856,-15
1437721206864,-15
1437721206872,-12
1437721206880,-17
1437721206887,-15
1437721206895,-20
1437721206903,-22
1437721206911,-81
1437721206919,-154
1437721206927,-83
1437721206935,322
1437721206943,894
1437721206950,864
1437721206958,403
1437721206966,171
1437721206974,73
1437721206982,2
1437721206990,-39
1437721206998,-54
1437721207006,-63
1437721207013,-66
1437721207021,-61
1437721207029,-59
1437721207037,-59
1437721207045,-66
1437721207053,-78
1437721207061,-76
1437721207069,-71
1437721207076,-71
1437721207084,-68
1437721207092,-66
1437721207100,-54
1437721207108,-49
1437721207116,-44
1437721207124,-46
1437721207131,-51
1437721207139,-46
1437721207147,-54
1437721207155,-56
1437721207163,-51
1437721207171,-54
1437721207179,-49
1437721207186,-56
1437721207194,-54
1437721207202,-46
1437721207210,-39
1437721207218,-34
1437721207226,-29
1437721207234,-22
1437721207242,-7
1437721207249,-5
1437721207257,0
1437721207265,0
1437721207273,5
1437721207281,5
1437721207289,5
1437721207297,0
1437721207304,0
1437721207312,5
1437721207320,7
1437721207328,2
1437721207336,0
1437721207344,15
1437721207352,22
1437721207359,29
1437721207367,39
1437721207375,44
1437721207383,44
1437721207391,39
1437721207399,49
1437721207407,56
1437721207414,54
1437721207422,49
1437721207430,39
1437721207438,39
1437721207446,42
1437721207454,49
1437721207462,54
1437721207469,56
1437721207477,51
1437721207485,59
1437721207493,61
1437721207501,61
1437721207509,66
1437721207517,66
1437721207524,71
1437721207532,78
1437721207540,83
1437721207548,78
1437721207556,78
1437721207564,78
1437721207572,73
1437721207579,71
1437721207587,61
1437721207595,66
1437721207603,54
1437721207611,56
1437721207619,56
1437721207627,56
1437721207635,71
1437721207642,61
1437721207650,61
1437721207658,59
1437721207666,68
1437721207674,61
1437721207682,44
1437721207690,44
1437721207697,32
1437721207705,17
1437721207713,22
1437721207721,34
1437721207729,59
1437721207737,63
1437721207745,76
1437721207752,83
1437721207760,88
1437721207768,95
1437721207776,105
1437721207784,110
1437721207792,120
1437721207800,122
1437721207807,110
1437721207815,105
1437721207823,46
1437721207831,-56
1437721207839,-27
1437721207847,342
1437721207855,959
1437721207862,994
1437721207870,542
1437721207878,286
1437721207886,183
1437721207894,129
1437721207902,83
1437721207909,71
1437721207917,71
1437721207925,73
1437721207933,73
1437721207941,98
1437721207948,110
1437721207956,115
1437721207964,122
1437721207972,137
1437721207980,137
1437721207988,132
1437721207995,129
1437721208003,132
1437721208011,132
1437721208019,139
1437721208027,171
1437721208035,183
1437721208042,166
1437721208050,159
1437721208058,154
1437721208066,156
1437721208074,159
1437721208081,166
1437721208089,176
1437721208097,171
1437721208105,171
1437721208113,178
1437721208121,181
1437721208128,178
1437721208136,183
1437721208144,193
1437721208152,198
1437721208160,193
1437721208167,178
1437721208175,173
1437721208183,173
1437721208191,166
1437721208199,171
1437721208207,166
1437721208214,156
1437721208222,166
1437721208230,164
1437721208238,151
1437721208246,154
1437721208253,164
1437721208261,161
1437721208269,173
1437721208277,166
1437721208285,176
1437721208293,183
1437721208300,183
1437721208308,178
1437721208316,171
1437721208324,164
1437721208332,166
1437721208339,164
1437721208347,154
1437721208355,154
1437721208363,159
1437721208371,159
1437721208379,149
1437721208386,154
1437721208394,154
1437721208402,156
1437721208410,164
1437721208418,168
1437721208426,166
1437721208433,166
1437721208441,156
1437721208449,164
1437721208457,166
1437721208465,164
1437721208472,171
1437721208480,171
1437721208488,176
1437721208496,186
1437721208504,193
1437721208512,188
1437721208519,190
1437721208527,188
1437721208535,193
1437721208543,195
1437721208551,193
1437721208558,186
1437721208566,188
1437721208574,188
1437721208582,188
1437721208590,195
1437721208598,205
1437721208605,215
1437721208613,215
1437721208621,215
1437721208629,225
1437721208637,215
1437721208645,210
1437721208653,220
1437721208660,215
1437721208668,200
1437721208676,193
1437721208684,186
1437721208692,88
1437721208700,61
1437721208708,320
1437721208715,940
1437721208723,1284
1437721208731,903
1437721208739,505
1437721208747,337
1437721208755,247
1437721208763,200
1437721208770,166
1437721208778,171
1437721208786,166
1437721208794,173
1437721208802,176
1437721208810,166
1437721208818,161
1437721208826,154
1437721208833,154
1437721208841,149
1437721208849,144
1437721208857,139
1437721208865,139
1437721208873,134
1437721208881,132
1437721208888,125
1437721208896,127
1437721208904,112
1437721208912,103
1437721208920,105
1437721208928,98
1437721208936,93
1437721208943,88
1437721208951,90
1437721208959,90
1437721208967,98
1437721208975,100
1437721208983,88
1437721208991,100
1437721208998,93
1437721209006,100
1437721209014,115
1437721209022,107
1437721209030,110
1437721209038,103
1437721209046,100
1437721209053,105
1437721209061,100
1437721209069,88
1437721209077,88
1437721209085,95
1437721209093,93
1437721209101,98
1437721209108,85
1437721209116,85
1437721209124,93
1437721209132,71
1437721209140,68
1437721209148,73
1437721209156,76
1437721209163,81
1437721209171,66
1437721209179,78
1437721209187,85
1437721209195,83
1437721209203,95
1437721209211,100
1437721209219,98
1437721209226,100
1437721209234,100
1437721209242,90
1437721209250,95
1437721209258,88
1437721209266,83
1437721209274,90
1437721209281,83
1437721209289,88
1437721209297,88
1437721209305,100
1437721209313,88
1437721209321,73
1437721209329,107
1437721209336,90
1437721209344,98
1437721209352,103
1437721209360,90
1437721209368,93
1437721209376,78
1437721209384,95
1437721209391,88
1437721209399,78
1437721209407,83
1437721209415,83
1437721209423,95
1437721209431,85
1437721209439,83
1437721209447,90
1437721209454,95
1437721209462,103
1437721209470,107
1437721209478,100
1437721209486,90
1437721209494,85
1437721209502,78
1437721209510,61
1437721209517,56
1437721209525,49
1437721209533,46
1437721209541,37
1437721209549,34
1437721209557,12
1437721209565,-81
1437721209573,-93
1437721209580,129
1437721209588,669
1437721209596,991
1437721209604,652
1437721209612,281
1437721209620,144
1437721209628,66
1437721209635,15
1437721209643,-17
1437721209651,-20
1437721209659,-15
1437721209667,-12
1437721209675,-5
1437721209683,0
1437721209691,-7
1437721209698,-12
1437721209706,-5
1437721209714,-5
1437721209722,-5
1437721209730,-5
1437721209738,-10
1437721209746,-12
1437721209754,-10
1437721209761,-12
1437721209769,-10
1437721209777,-15
1437721209785,-10
1437721209793,-5
1437721209801,-5
1437721209809,-12
1437721209817,-10
1437721209824,-17
1437721209832,-12
1437721209840,2
1437721209848,5
1437721209856,5
1437721209864,0
1437721209872,5
1437721209879,2
1437721209887,-5
1437721209895,-7
1437721209903,-15
1437721209911,-10
1437721209919,-7
1437721209927,-12
1437721209935,-12
1437721209942,-17
1437721209950,-20
